workload,workload_kind,mode,do_sort,use_morton,block_size,metrics_block_size,run,cycles,parse_ms,exec_ms,ms_per_cycle,total_ms,parse_allocs,exec_allocs,final_count,pre_hot,pre_warm,pre_cold,pre_free,pre_mean_edge_dist,pre_p95_edge_dist,pre_block_local_pct,post_hot,post_warm,post_cold,post_free,post_mean_edge_dist,post_p95_edge_dist,post_block_local_pct
expr_chain,expr,bsp-block256,True,False,256,256,0,3,980.4622940009722,48.206555999058764,16.068851999686256,1028.668850000031,194,0,196,64,0,131,65341,1.6632124352331605,3.0,1.0,63,0,133,65340,34.33507853403141,123.5,1.0
expr_chain,expr,bsp-block256,True,False,256,256,1,3,987.5694579986884,31.60964200105809,10.53654733368603,1019.1790999997465,194,0,196,64,0,131,65341,1.6632124352331605,3.0,1.0,63,0,133,65340,34.33507853403141,123.5,1.0
expr_chain,expr,bsp-block256,True,False,256,256,2,3,929.6703449999768,48.16387000028044,16.054623333426814,977.8342150002572,194,0,196,64,0,131,65341,1.6632124352331605,3.0,1.0,63,0,133,65340,34.33507853403141,123.5,1.0
expr_chain,expr,bsp-morton-block256,True,True,256,256,0,3,958.6551760003204,49.60419500093849,16.534731666979496,1008.2593710012588,194,0,196,64,0,131,65341,1.6632124352331605,3.0,1.0,63,0,133,65340,34.33507853403141,123.5,1.0
expr_chain,expr,bsp-morton-block256,True,True,256,256,1,3,1039.7932270007004,49.594558999160654,16.531519666386885,1089.387785999861,194,0,196,64,0,131,65341,1.6632124352331605,3.0,1.0,63,0,133,65340,34.33507853403141,123.5,1.0
expr_chain,expr,bsp-morton-block256,True,True,256,256,2,3,1058.689833000244,51.1783120000473,17.0594373333491,1109.8681450002914,194,0,196,64,0,131,65341,1.6632124352331605,3.0,1.0,63,0,133,65340,34.33507853403141,123.5,1.0
arena_dense,arena,bsp-rank,True,False,0,256,0,3,0.0,5.209091001233901,1.736363667077967,5.209091001233901,0,7220,31220,10815,0,13184,41537,7973.345923140947,18470.9,0.011078265361765635,4191,0,27029,34316,9899.37547964436,26719.0,0.005864919669318359
arena_dense,arena,bsp-rank,True,False,0,256,1,3,0.0,6.141137999293278,2.047045999764426,6.141137999293278,0,7220,31220,10815,0,13184,41537,7973.345923140947,18470.9,0.011078265361765635,4191,0,27029,34316,9899.37547964436,26719.0,0.005864919669318359
arena_dense,arena,bsp-rank,True,False,0,256,2,3,0.0,5.638484000883182,1.8794946669610606,5.638484000883182,0,7220,31220,10815,0,13184,41537,7973.345923140947,18470.9,0.011078265361765635,4191,0,27029,34316,9899.37547964436,26719.0,0.005864919669318359
arena_dense,arena,bsp-nosort,False,False,0,256,0,3,0.0,0.6320769989542896,0.2106923329847632,0.6320769989542896,0,7221,31221,10815,0,13184,41537,7973.345923140947,18470.9,0.011078265361765635,4191,0,27028,34317,9882.60611449072,22877.0,0.006551240056153486
